location,frequency,length
5,8.166267703969678,>= 5
10,7.842110512667066,>= 5
15,7.842110512667066,>= 5
20,6.5953520845800915,>= 5
25,6.832236185916617,>= 5
30,7.193796130061839,>= 5
35,7.15639337721923,>= 5
40,6.2088569718731295,>= 5
45,6.645222421703571,>= 5
50,5.959505286255735,>= 5
55,7.243666467185318,>= 5
60,6.3958707360861755,>= 5
65,6.969379613006184,>= 5
70,5.872232196289647,>= 5
75,6.919509275882705,>= 5
80,6.420805904647915,>= 5
85,6.645222421703571,>= 5
90,6.869638938759226,>= 5
95,6.308597646120088,>= 5
100,11.133552762816677,>= 5
5,8.066527029722721,>= 10
10,7.842110512667066,>= 10
15,7.60522641133054,>= 10
20,6.495611410333134,>= 10
25,6.807301017354877,>= 10
30,6.9818471972870535,>= 10
35,7.056652702972272,>= 10
40,6.121583881907042,>= 10
45,6.545481747456613,>= 10
50,5.959505286255735,>= 10
55,7.031717534410532,>= 10
60,6.271194893277478,>= 10
65,6.7948334330740074,>= 10
70,5.784959106323559,>= 10
75,6.844703770197486,>= 10
80,6.333532814681827,>= 10
85,6.483143826052264,>= 10
90,6.70756034310792,>= 10
95,6.308597646120088,>= 10
100,10.123678436066228,>= 10
5,7.555356074207062,>= 20
10,6.882106523040096,>= 20
15,6.919509275882705,>= 20
20,6.109116297626172,>= 20
25,6.370935567524437,>= 20
30,6.358467983243567,>= 20
35,6.483143826052264,>= 20
40,5.647815679233991,>= 20
45,5.9969080390983445,>= 20
50,5.73508876920008,>= 20
55,6.433273488928785,>= 20
60,5.847297027727907,>= 20
65,6.146519050468781,>= 20
70,5.448334330740076,>= 20
75,6.408338320367045,>= 20
80,5.772491522042689,>= 20
85,5.9844404548174746,>= 20
90,6.233792140434869,>= 20
95,5.7974266906044285,>= 20
100,8.689906243766208,>= 20